RefLink,CarName,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,Transmission,OMV,ARF,Power,No of Owners
https://www.sgcarmart.com/used_cars/info.php?ID=1072409&DL=1000,Toyota Alphard 2.4A S Moonroof (COE till 03/2023),"$18,800","$18,850 /yr",N.A.,"$2,293 /yr","$4,487 as of today (change)","$22,499","2,362 cc","1,830 kg",MPV,"24-Mar-2008
(11mths 27days COE left)",Auto,"$32,206","$32,206",117.0 kW (156 bhp),5
https://www.sgcarmart.com/used_cars/info.php?ID=1034788&DL=3662,Honda Stream 1.8A X (COE till 09/2025),"$48,300","$13,970 /yr","140,000 km (12.1k /yr)","$1,174 /yr","$12,079 as of today (change)","$17,468","1,799 cc","1,350 kg",MPV,"07-Sep-2010
(3yrs 5mths 13days COE left)",Auto,"$21,227","$21,227",103.0 kW (138 bhp),5
https://www.sgcarmart.com/used_cars/info.php?ID=1000040&DL=1000,Honda Odyssey 2.4A Sunroof (COE till 02/2028),"$48,800","$8,310 /yr","167,000 km (11.8k /yr)","$2,442 /yr","$29,696 as of today (change)","$50,578","2,354 cc","1,648 kg",MPV,"05-Feb-2008
(5yrs 10mths 11days COE left)",Auto,"$28,059","$30,865",118.0 kW (158 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1081744&DL=3074,Toyota Wish 1.8A,"$82,800","$12,030 /yr
View models with similar depre","55,877 km (14.1k /yr)",$976 /yr,"$40,797 as of today (change)","$42,661","1,798 cc","1,355 kg",MPV,"12-Apr-2018
(6yrs 18days COE left)",Auto,"$19,955","$19,955",105.0 kW (140 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=971211&DL=3108,Nissan Note 1.2A DIG-S,"$55,999","$9,490 /yr
View models with similar depre","60,000 km (13.6k /yr)",$508 /yr,"$27,651 as of today (change)","$41,617","1,198 cc","1,088 kg",Hatchback,"26-Oct-2017
(5yrs 7mths 1day COE left)",Auto,"$15,840","$5,840",72.0 kW (96 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1079561&DL=2549,MINI John Cooper Works 2.0A Sunroof,"$231,800","$22,070 /yr
View models with similar depre","2,300 km","$1,210 /yr","$93,798 as of today (change)","$59,501","1,998 cc","1,275 kg",Mid-Sized Sedan,"28-Jul-2021
(9yrs 4mths 3days COE left)",Auto,"$42,073","$50,903",170.0 kW (227 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1067347&DL=3701,Volkswagen Golf 1.4A TSI EQP Sunroof,"$70,800","$13,480 /yr
View models with similar depre","61,000 km (11.5k /yr)",$624 /yr,"$34,576 as of today (change)","$50,951","1,395 cc","1,249 kg",Hatchback,"29-Nov-2016
(4yrs 8mths 4days COE left)",Auto,"$23,781","$15,294",92.0 kW (123 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=925957&DL=2029,Mazda 3 1.5A Sunroof,"$52,500","$11,870 /yr
View models with similar depre","87,600 km (14.5k /yr)",$682 /yr,"$24,754 as of today (change)","$45,002","1,496 cc","1,321 kg",Mid-Sized Sedan,"16-Mar-2016
(3yrs 11mths 19days COE left)",Auto,"$15,541","$10,541",88.0 kW (118 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1081927&DL=1344,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,"$41,800","$14,840 /yr
View models with similar depre",N.A.,$624 /yr,"$24,687 as of today (change)","$60,002","1,395 cc","1,310 kg",Luxury Sedan,"20-May-2014
(2yrs 1mth 25days COE left)",Auto,"$30,416","$19,583",90.0 kW (120 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1079964&DL=3193,Mercedes-Benz C-Class C180K (New 10-yr COE),"$91,800","$9,170 /yr","103,000 km (10.3k /yr)",$742 /yr,N.A.,N.A.,"1,597 cc","1,500 kg",Luxury Sedan,"21-Mar-2012
(10yrs  COE left)",Auto,"$30,319","$30,319",115.0 kW (154 bhp),3
