CarID,CarName,CarAge,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,COE Expiry Date,COE Duration,Transmission,OMV,ARF,Power,No of Owners
1048111,Mercedes-Benz E-Class E250 Exclusive,1331,170800,20500,103689,1202,83580,36000,1991,1615,Luxury Sedan,2018-08-01,2031-10-30,3507,Auto,60509,80917,155.0,1
1039804,BMW 5 Series 523i,3788,97800,10180,99000,1976,58229,60586,2497,1725,Luxury Sedan,2011-11-09,2031-10-31,3508,Auto,40594,40594,150.0,3
995058,Mercedes-Benz G-Class G63 AMG 4MATIC,3191,328000,207340,49000,6236,84414,92667,5461,2550,SUV,2013-06-28,2031-10-31,3508,Auto,132247,132247,400.0,2
1034418,Porsche Boxster 2.9A PDK,4495,162888,21170,95000,2938,30103,39129,2893,1440,Sports Car,2009-12-02,2029-11-30,2808,Auto,67222,67222,188.0,6
1080922,Toyota Vellfire 2.5A X Welcab,430,232800,23410,11800,1792,82586,49001,2493,2040,MPV,2021-01-18,2029-11-30,2808,Auto,43185,52459,134.0,1
1077620,Daihatsu Terios 1.5A,5728,34800,8150,130385,1023,19842,46454,1495,1200,SUV,2006-07-18,2026-06-30,1559,Auto,17341,19076,77.0,4
1077751,Honda Shuttle 1.5A G Honda Sensing,427,93800,10310,15949,682,39944,40609,1496,1130,Stationwagon,2021-01-21,2026-06-30,1559,Auto,20309,5433,95.0,1
1075213,Kia Cerato K3 1.6A SX,2038,55800,10720,73113,738,35338,53334,1591,1295,Mid-Sized Sedan,2016-08-24,2026-08-23,1613,Auto,16812,16812,95.3,1
1007649,Mitsubishi Outlander 2.4A Sunroof,2401,54800,13220,82996,1636,32235,60101,2360,1530,SUV,2015-08-27,2026-08-23,1613,Auto,18972,18972,123.0,2
1076733,Mitsubishi Eclipse Cross 1.5A Sunroof,1031,108800,13130,50000,684,47165,35403,1499,1490,SUV,2019-05-28,2029-05-27,2621,Auto,26421,28990,120.0,1
1075844,Honda Fit 1.3A G F-Package,883,74880,9470,25100,578,25062,27000,1317,1030,Hatchback,2019-10-23,2029-05-27,2621,Auto,16105,6105,73.0,1
